Date,SnP_Close,SnP_Volume
"Oct 29, 2021","4,605.38","4,510,200,000"
"Oct 28, 2021","4,596.42","4,132,950,000"
"Oct 27, 2021","4,551.68","4,226,050,000"
"Oct 26, 2021","4,574.79","3,879,740,000"
"Oct 25, 2021","4,566.48","3,899,400,000"
"Oct 22, 2021","4,544.90","3,758,220,000"
"Oct 21, 2021","4,549.78","3,822,330,000"
"Oct 20, 2021","4,536.19","3,670,760,000"
"Oct 19, 2021","4,519.63","3,459,130,000"
"Oct 18, 2021","4,486.46","3,662,010,000"
"Oct 15, 2021","4,471.37","3,819,380,000"
"Oct 14, 2021","4,438.26","3,598,280,000"
"Oct 13, 2021","4,363.80","3,620,070,000"
"Oct 12, 2021","4,350.65","3,558,450,000"
"Oct 11, 2021","4,361.19","3,281,970,000"
"Oct 08, 2021","4,391.34","3,280,160,000"
"Oct 07, 2021","4,399.76","3,843,740,000"
"Oct 06, 2021","4,363.55","4,009,630,000"
"Oct 05, 2021","4,345.72","3,902,890,000"
"Oct 04, 2021","4,300.46","4,307,870,000"
"Oct 01, 2021","4,357.04","4,010,370,000"
"Sep 30, 2021","4,307.54","4,448,140,000"
"Sep 29, 2021","4,359.46","3,712,660,000"
"Sep 28, 2021","4,352.63","4,416,550,000"
"Sep 27, 2021","4,443.11","4,058,650,000"
"Sep 24, 2021","4,455.48","3,384,290,000"
"Sep 23, 2021","4,448.98","3,916,350,000"
"Sep 22, 2021","4,395.64","3,939,170,000"
"Sep 21, 2021","4,354.19","3,920,920,000"
"Sep 20, 2021","4,357.73","4,898,070,000"
"Sep 17, 2021","4,432.99","7,289,530,000"
"Sep 16, 2021","4,473.75","3,984,560,000"
"Sep 15, 2021","4,480.70","4,032,020,000"
"Sep 14, 2021","4,443.05","3,670,460,000"
"Sep 13, 2021","4,468.73","3,914,220,000"
"Sep 10, 2021","4,458.58","3,623,180,000"
"Sep 09, 2021","4,493.28","3,735,390,000"
"Sep 08, 2021","4,514.07","3,750,880,000"
"Sep 07, 2021","4,520.03","3,822,960,000"
"Sep 03, 2021","4,535.43","3,217,530,000"
"Sep 02, 2021","4,536.95","3,735,990,000"
"Sep 01, 2021","4,524.09","4,057,340,000"
"Aug 31, 2021","4,522.68","4,290,710,000"
"Aug 30, 2021","4,528.79","3,168,660,000"
"Aug 27, 2021","4,509.37","3,331,200,000"
"Aug 26, 2021","4,470.00","3,263,980,000"
"Aug 25, 2021","4,496.19","3,444,700,000"
"Aug 24, 2021","4,486.23","3,979,220,000"
"Aug 23, 2021","4,479.53","3,576,530,000"
"Aug 20, 2021","4,441.67","3,652,610,000"
"Aug 19, 2021","4,405.80","4,398,410,000"
"Aug 18, 2021","4,400.27","3,755,590,000"
"Aug 17, 2021","4,448.08","3,836,960,000"
"Aug 16, 2021","4,479.71","3,370,640,000"
"Aug 13, 2021","4,468.00","3,016,470,000"
"Aug 12, 2021","4,460.83","3,375,310,000"
"Aug 11, 2021","4,442.41","3,532,560,000"
"Aug 10, 2021","4,436.75","3,886,610,000"
"Aug 09, 2021","4,432.35","3,449,280,000"
"Aug 06, 2021","4,436.52","3,451,870,000"
"Aug 05, 2021","4,429.10","3,769,410,000"
"Aug 04, 2021","4,402.66","4,260,760,000"
"Aug 03, 2021","4,423.15","3,965,190,000"
"Aug 02, 2021","4,387.16","3,724,090,000"
"Jul 30, 2021","4,395.26","3,956,740,000"
"Jul 29, 2021","4,419.15","4,044,600,000"
"Jul 28, 2021","4,400.64","4,215,290,000"
"Jul 27, 2021","4,401.46","4,241,950,000"
"Jul 26, 2021","4,422.30","4,275,630,000"
"Jul 23, 2021","4,411.79","4,540,070,000"
"Jul 22, 2021","4,367.48","3,358,300,000"
"Jul 21, 2021","4,358.69","3,810,280,000"
"Jul 20, 2021","4,323.06","4,438,270,000"
"Jul 19, 2021","4,258.49","5,157,660,000"
"Jul 16, 2021","4,327.16","3,985,700,000"
"Jul 15, 2021","4,360.03","3,905,230,000"
"Jul 14, 2021","4,374.30","4,006,370,000"
"Jul 13, 2021","4,369.21","3,695,430,000"
"Jul 12, 2021","4,384.63","3,384,460,000"
"Jul 09, 2021","4,369.55","3,531,120,000"
"Jul 08, 2021","4,320.82","4,347,500,000"
"Jul 07, 2021","4,358.13","4,037,380,000"
"Jul 06, 2021","4,343.54","4,309,570,000"
"Jul 02, 2021","4,352.34","3,225,840,000"
"Jul 01, 2021","4,319.94","3,788,230,000"
"Jun 30, 2021","4,297.50","4,266,040,000"
"Jun 29, 2021","4,291.80","3,707,150,000"
"Jun 28, 2021","4,290.61","4,147,890,000"
"Jun 25, 2021","4,280.70","7,341,450,000"
"Jun 24, 2021","4,266.49","3,816,660,000"
"Jun 23, 2021","4,241.84","3,730,350,000"
"Jun 22, 2021","4,246.44","3,828,390,000"
"Jun 21, 2021","4,224.79","4,128,950,000"
"Jun 18, 2021","4,166.45","6,817,010,000"
"Jun 17, 2021","4,221.86","5,312,680,000"
"Jun 16, 2021","4,223.70","4,538,350,000"
"Jun 15, 2021","4,246.59","4,048,940,000"
"Jun 14, 2021","4,255.15","4,151,200,000"
"Jun 11, 2021","4,247.44","3,815,010,000"
"Jun 10, 2021","4,239.18","4,408,210,000"
"Jun 09, 2021","4,219.55","4,713,260,000"
"Jun 08, 2021","4,227.26","4,659,620,000"
"Jun 07, 2021","4,226.52","4,476,920,000"
"Jun 04, 2021","4,229.89","4,139,790,000"
