Date,LastPrice,PriceEarningsRatio,ReturnonCapital,Volatility30Day,CurrentMarketCap,RSI14Day,OverridableRawBeta,sector_CommunicationServices,sector_ConsumerDiscretion,sector_ConsumerStaple,sector_Energy,sector_Financial,sector_HealthCare,sector_IT,sector_Industrial,sector_Material,sector_RealEstate,sector_Utilities
20220722,0.13685557463716871,0.000963957546509079,0.5297794862570131,0.16923119979459447,0.2657414253624882,0.5320365688864981,0.8149173637224071,0,0,0,0,1,0,0,0,0,0,0
20220721,0.13794322658854427,0.0009816467839119034,0.5297794862570131,0.17688858308198296,0.2675730800560487,0.5586575197638739,0.8140463592205852,0,0,0,0,1,0,0,0,0,0,0
20220720,0.13677139104960095,0.0009625884104871693,0.5297794862570131,0.1788340421149696,0.26575338767290635,0.5365008352271944,0.8151038826740052,0,0,0,0,1,0,0,0,0,0,0
20220719,0.1361854732801293,0.0009530592237748021,0.5297794862570131,0.17949628112272412,0.2649317766410467,0.5256301241476607,0.8150827055275214,0,0,0,0,1,0,0,0,0,0,0
20220718,0.1307472135232515,0.0008646130367606039,0.5297794862570131,0.16633711231134465,0.2558190436163409,0.41275164429834443,0.8144529095964476,0,0,0,0,1,0,0,0,0,0,0
20220715,0.1316867023605078,0.0008798925947649254,0.5297794862570131,0.16816325156263248,0.25730356241891655,0.43116305070070293,0.8145715898814831,0,0,0,0,1,0,0,0,0,0,0
20220714,0.12565242280365022,0.0007817529247157143,0.5297794862570131,0.15280993443988578,0.24700154472912852,0.27445548116753604,0.8124821113179672,0,0,0,0,1,0,0,0,0,0,0
20220713,0.12901303161935548,0.0008364088347096415,0.5297794862570131,0.15185591634077159,0.2526434571726391,0.3348904443328484,0.8049231420021858,0,0,0,0,1,0,0,0,0,0,0
20220712,0.1306562952486783,0.0008631343698569734,0.5297794862570131,0.15148400594894385,0.25551096987224703,0.3677952758745495,0.8047370576482399,0,0,0,0,1,0,0,0,0,0,0
20220711,0.1318146614136108,0.0008819736815181885,0.5297794862570131,0.1575798461818103,0.2574472774339634,0.39164367080871576,0.8047956893548104,0,0,0,0,1,0,0,0,0,0,0
20220708,0.13330639458531163,0.0009062347718261183,0.5297794862570131,0.1653581342079901,0.25995444089149455,0.42296065005552996,0.8098754085806033,0,0,0,0,1,0,0,0,0,0,0
20220707,0.133663332996599,0.0009120399085589459,0.5297794862570131,0.16663554330269933,0.26064742916054096,0.4303788618722445,0.8100921105426314,0,0,0,0,1,0,0,0,0,0,0
20220706,0.13107047849951173,0.0008698705190846728,0.5297794862570131,0.1630564527542978,0.25629265931593864,0.3677108544215829,0.810685260579889,0,0,0,0,1,0,0,0,0,0,0
20220705,0.13151833518537226,0.0008771543227211313,0.5297794862570131,0.17739874116772136,0.25710456408467824,0.3757768035285828,0.8108523081356707,0,0,0,0,1,0,0,0,0,0,0
20220704,0.13151833518537226,0.0008909552138217963,0.5297794862570131,0.17739874116772136,0.25850841767142935,0.3757768035285828,0.8108523081356707,0,0,0,0,1,0,0,0,0,0,0
20220701,0.13236690574805537,0.0008909552138217963,0.5297794862570131,0.1772342931002443,0.25850841767142935,0.3905446143427369,0.8101309818692056,0,0,0,0,1,0,0,0,0,0,0
20220630,0.12984139812102233,0.0008498811331650665,0.5297794862570131,0.17458595600425558,0.2543571552201533,0.3326929760573276,0.8102409076092925,0,0,0,0,1,0,0,0,0,0,0
20220629,0.1314105801932855,0.0008754018286131083,0.5297794862570131,0.1824847989064223,0.2570905853284755,0.3572304373239832,0.8110303782506849,0,0,0,0,1,0,0,0,0,0,0
20220628,0.13255547698420714,0.0008940220785108306,0.5297794862570131,0.19179430716716894,0.25913190994279206,0.3751953279102781,0.811386145710068,0,0,0,0,1,0,0,0,0,0,0
20220627,0.13422567936155166,0.0009211857371851742,0.5297794862570131,0.1915456911761732,0.2617602962463038,0.40148365707126876,0.8137542972795228,0,0,0,0,1,0,0,0,0,0,0
20220624,0.1350170050846887,0.0009340556157909413,0.5297794862570131,0.1938492313290439,0.2631339655505419,0.4138338725240365,0.814053944725743,0,0,0,0,1,0,0,0,0,0,0
20220623,0.12837997104084586,0.0008261129318250225,0.5297794862570131,0.17641957841660227,0.2522133351099562,0.27387871999982105,0.8129268677541995,0,0,0,0,1,0,0,0,0,0,0
20220622,0.129181398794491,0.0008391471067534357,0.5297794862570131,0.17710848016349756,0.2535087360880826,0.2842082817387124,0.813953608185508,0,0,0,0,1,0,0,0,0,0,0
20220621,0.12963262282385427,0.0008464856758307673,0.5297794862570131,0.17748892292170956,0.25421207688460434,0.2897922397757827,0.8139248399178318,0,0,0,0,1,0,0,0,0,0,0
20220620,0.12963262282385427,0.0007897486790835774,0.5297794862570131,0.17748892292170956,0.24826949858444572,0.2897922397757827,0.8139248399178318,0,0,0,0,1,0,0,0,0,0,0
20220617,0.12614405495504596,0.0007897486790835774,0.5297794862570131,0.17650424772121825,0.24826949858444572,0.21197974496510788,0.8143373089576956,0,0,0,0,1,0,0,0,0,0,0
20220616,0.12560864733811494,0.0007810409739843357,0.5297794862570131,0.1759357352936273,0.24734130139290697,0.19971667713926713,0.8151248061444575,0,0,0,0,1,0,0,0,0,0,0
20220615,0.130147826379769,0.0008548647882847434,0.5297794862570131,0.1779702109315543,0.25469463863224256,0.24542089192767194,0.8129765589042834,0,0,0,0,1,0,0,0,0,0,0
20220614,0.12798935919453144,0.0008197601406834359,0.5297794862570131,0.18856076687548423,0.25098598576027775,0.19708553921561098,0.8129226550343018,0,0,0,0,1,0,0,0,0,0,0
