Date,SnP_Close,SnP_Volume,VIX,formatted_date,3MTbill,wti
14/10/2020,3488.67,3858510000,26.4,20201014,0.12,40.86
15/10/2020,3483.34,3724550000,26.97,20201015,0.11,40.84
16/10/2020,3483.81,4688030000,27.41,20201016,0.11,40.7
19/10/2020,3426.92,4091080000,29.18,20201019,0.11,40.69
20/10/2020,3443.12,3917850000,29.35,20201020,0.1,41.37
21/10/2020,3435.56,4103960000,28.65,20201021,0.1,39.88
22/10/2020,3453.49,4172060000,28.11,20201022,0.09,40.46
23/10/2020,3465.39,3651600000,27.55,20201023,0.1,39.73
26/10/2020,3400.97,4002210000,32.46,20201026,0.11,38.39
27/10/2020,3390.68,3962400000,33.35,20201027,0.1,39.34
28/10/2020,3271.03,5139970000,40.28,20201028,0.1,37.27
29/10/2020,3310.11,4911860000,37.59,20201029,0.09,35.94
30/10/2020,3269.96,4843930000,38.02,20201030,0.09,35.64
11/2/2020,3310.24,4314690000,37.13,20201102,0.09,36.6
11/3/2020,3369.16,4241380000,35.55,20201103,0.1,37.44
11/4/2020,3443.44,4790400000,29.57,20201104,0.1,38.97
11/5/2020,3510.45,4858150000,27.58,20201105,0.1,38.56
11/6/2020,3509.44,4842460000,24.86,20201106,0.1,36.97
11/9/2020,3550.5,8570510000,25.75,20201109,0.11,40.05
11/10/2020,3545.53,6037470000,24.8,20201110,0.1,41.18
11/11/2020,3572.66,4635560000,23.45,20201111,0.1,41.23
11/12/2020,3537.01,4909660000,25.35,20201112,0.1,40.9
13/11/2020,3585.15,4719580000,23.1,20201113,0.09,39.93
16/11/2020,3626.91,5295510000,22.45,20201116,0.09,41.14
17/11/2020,3609.53,4812180000,22.71,20201117,0.09,41.24
18/11/2020,3567.79,5284810000,23.84,20201118,0.09,41.64
19/11/2020,3581.87,4363370000,23.11,20201119,0.07,41.57
20/11/2020,3557.54,4236370000,23.7,20201120,0.07,41.99
23/11/2020,3577.59,5057550000,22.66,20201123,0.08,42.91
24/11/2020,3635.41,6280290000,21.64,20201124,0.09,44.71
25/11/2020,3629.65,4910440000,21.25,20201125,0.09,45.58
27/11/2020,3638.35,2778390000,20.84,20201127,0.09,45.58
30/11/2020,3621.63,6308410000,20.57,20201130,0.08,45.2
12/1/2020,3662.45,5418480000,20.77,20201201,0.09,44.54
12/2/2020,3669.01,5041250000,21.17,20201202,0.09,45.23
12/3/2020,3666.72,5065340000,21.28,20201203,0.08,45.65
12/4/2020,3699.12,5099620000,20.79,20201204,0.09,46.23
12/7/2020,3691.96,4804500000,21.3,20201207,0.08,45.72
12/8/2020,3702.25,4584390000,20.68,20201208,0.09,45.64
12/9/2020,3672.82,5232800000,22.27,20201209,0.08,45.48
12/10/2020,3668.1,4658480000,22.52,20201210,0.08,46.76
12/11/2020,3663.46,4375470000,23.31,20201211,0.08,46.59
14/12/2020,3647.49,4623850000,24.72,20201214,0.09,47.02
15/12/2020,3694.62,4387080000,22.89,20201215,0.08,47.58
16/12/2020,3701.17,4067040000,22.5,20201216,0.09,47.86
17/12/2020,3722.48,4192810000,21.93,20201217,0.08,48.34
18/12/2020,3709.41,7097100000,21.57,20201218,0.08,49.04
21/12/2020,3694.92,4748580000,25.16,20201221,0.09,47.79
22/12/2020,3687.26,4053310000,24.23,20201222,0.09,47.02
23/12/2020,3690.01,3779160000,23.31,20201223,0.09,47.94
24/12/2020,3703.06,1883780000,21.53,20201224,0.09,48.18
28/12/2020,3735.36,3535460000,21.7,20201228,0.11,47.5
29/12/2020,3727.04,3393290000,23.08,20201229,0.1,47.85
30/12/2020,3732.04,3154850000,22.77,20201230,0.08,48.24
31/12/2020,3756.07,3179040000,22.75,20201231,0.09,48.35
1/4/2021,3700.65,5015000000,26.97,20210104,0.09,47.47
1/5/2021,3726.86,4591020000,25.34,20210105,0.09,49.78
1/6/2021,3748.14,6064110000,25.07,20210106,0.09,50.45
1/7/2021,3803.79,5099160000,22.37,20210107,0.09,50.63
1/8/2021,3824.68,4773040000,21.56,20210108,0.08,52.14
1/11/2021,3799.61,4465430000,24.08,20210111,0.08,52.15
1/12/2021,3801.19,4994950000,23.33,20210112,0.09,53.08
13/1/2021,3809.84,4602510000,22.21,20210113,0.09,52.81
14/1/2021,3795.54,5198480000,23.25,20210114,0.09,53.47
15/1/2021,3768.25,5369820000,24.34,20210115,0.09,52.25
19/1/2021,3798.91,5014440000,23.24,20210119,0.09,52.87
20/1/2021,3851.85,4566190000,21.58,20210120,0.08,53.16
21/1/2021,3853.07,4501760000,21.32,20210121,0.09,53
22/1/2021,3841.47,5110890000,21.91,20210122,0.08,52.28
25/1/2021,3855.36,7000840000,23.19,20210125,0.09,52.78
26/1/2021,3849.62,6137500000,23.02,20210126,0.07,52.61
27/1/2021,3750.77,9976520000,37.21,20210127,0.08,52.81
28/1/2021,3787.38,6992770000,30.21,20210128,0.07,52.26
29/1/2021,3714.24,6643370000,33.09,20210129,0.06,52.16
2/1/2021,3773.86,5436230000,30.24,20210201,0.07,53.55
2/2/2021,3826.31,5514090000,25.56,20210202,0.07,54.77
2/3/2021,3830.17,4864870000,22.91,20210203,0.04,55.67
2/4/2021,3871.74,4879240000,21.77,20210204,0.04,56.19
2/5/2021,3886.83,4879470000,20.87,20210205,0.03,56.8
2/8/2021,3915.59,4648360000,21.24,20210208,0.05,57.95
2/9/2021,3911.23,4568320000,21.63,20210209,0.04,58.34
2/10/2021,3909.88,4837070000,21.99,20210210,0.05,58.69
2/11/2021,3916.38,4590960000,21.25,20210211,0.05,58.22
2/12/2021,3934.83,4135060000,19.97,20210212,0.04,59.5
16/2/2021,3932.59,5058990000,21.46,20210216,0.04,60.07
17/2/2021,3931.33,4730650000,21.5,20210217,0.04,61.09
18/2/2021,3913.97,4793650000,22.49,20210218,0.03,60.4
19/2/2021,3906.71,4845320000,22.05,20210219,0.04,59.12
22/2/2021,3876.5,5917100000,23.45,20210222,0.03,61.67
23/2/2021,3881.37,6296610000,23.11,20210223,0.04,61.66
24/2/2021,3925.43,6012790000,21.34,20210224,0.03,63.21
25/2/2021,3829.34,6547470000,28.89,20210225,0.04,63.43
26/2/2021,3811.15,6526070000,27.95,20210226,0.04,61.55
3/1/2021,3901.82,5114820000,23.35,20210301,0.05,60.54
3/2/2021,3870.29,5536010000,24.1,20210302,0.04,59.7
3/3/2021,3819.72,6173660000,26.67,20210303,0.05,61.33
3/4/2021,3768.47,7195400000,28.57,20210304,0.04,63.81
3/5/2021,3841.94,6851070000,24.66,20210305,0.04,66.08
3/8/2021,3821.35,5871710000,25.47,20210308,0.05,65.03
3/9/2021,3875.44,5513560000,24.03,20210309,0.05,64.02
3/10/2021,3898.81,5847380000,22.56,20210310,0.04,64.45
3/11/2021,3939.34,5312880000,21.91,20210311,0.04,66.02
3/12/2021,3943.34,4476280000,20.69,20210312,0.04,65.59
15/3/2021,3968.94,4900100000,20.03,20210315,0.04,65.36
16/3/2021,3962.71,4613080000,19.79,20210316,0.02,64.82
17/3/2021,3974.12,4561660000,19.23,20210317,0.02,64.55
18/3/2021,3915.46,5118590000,21.58,20210318,0.01,59.95
19/3/2021,3913.1,7757420000,20.95,20210319,0.01,61.43
22/3/2021,3940.59,4316260000,18.88,20210322,0.03,61.48
23/3/2021,3910.52,4669010000,20.3,20210323,0.01,57.75
24/3/2021,3889.14,4783020000,21.2,20210324,0.02,61.12
25/3/2021,3909.52,4948340000,19.81,20210325,0.02,58.47
26/3/2021,3974.54,5483160000,18.86,20210326,0.02,60.93
29/3/2021,3971.09,4628180000,20.74,20210329,0.03,61.49
30/3/2021,3958.55,4121510000,19.61,20210330,0.02,60.55
31/3/2021,3972.89,4578050000,19.4,20210331,0.03,59.19
4/1/2021,4019.87,4162130000,17.33,20210401,0.02,61.41
4/5/2021,4077.91,4005030000,17.91,20210405,0.03,58.73
