Date,SnP_Close,SnP_Volume,VIX,formatted_date
22-12-2020,3687.26,4053310000,24.23,20201222
23-12-2020,3690.01,3779160000,23.31,20201223
24-12-2020,3703.06,1883780000,21.53,20201224
28-12-2020,3735.36,3535460000,21.7,20201228
29-12-2020,3727.04,3393290000,23.08,20201229
30-12-2020,3732.04,3154850000,22.77,20201230
31-12-2020,3756.07,3179040000,22.75,20201231
01-04-2021,3700.65,5015000000,26.97,20210104
01-05-2021,3726.86,4591020000,25.34,20210105
01-06-2021,3748.14,6064110000,25.07,20210106
01-07-2021,3803.79,5099160000,22.37,20210107
01-08-2021,3824.68,4773040000,21.56,20210108
01-11-2021,3799.61,4465430000,24.08,20210111
01-12-2021,3801.19,4994950000,23.33,20210112
13-1-2021,3809.84,4602510000,22.21,20210113
14-1-2021,3795.54,5198480000,23.25,20210114
15-1-2021,3768.25,5369820000,24.34,20210115
19-1-2021,3798.91,5014440000,23.24,20210119
20-1-2021,3851.85,4566190000,21.58,20210120
21-1-2021,3853.07,4501760000,21.32,20210121
22-1-2021,3841.47,5110890000,21.91,20210122
25-1-2021,3855.36,7000840000,23.19,20210125
26-1-2021,3849.62,6137500000,23.02,20210126
27-1-2021,3750.77,9976520000,37.21,20210127
28-1-2021,3787.38,6992770000,30.21,20210128
29-1-2021,3714.24,6643370000,33.09,20210129
02-01-2021,3773.86,5436230000,30.24,20210201
02-02-2021,3826.31,5514090000,25.56,20210202
02-03-2021,3830.17,4864870000,22.91,20210203
02-04-2021,3871.74,4879240000,21.77,20210204
02-05-2021,3886.83,4879470000,20.87,20210205
02-08-2021,3915.59,4648360000,21.24,20210208
02-09-2021,3911.23,4568320000,21.63,20210209
02-10-2021,3909.88,4837070000,21.99,20210210
02-11-2021,3916.38,4590960000,21.25,20210211
02-12-2021,3934.83,4135060000,19.97,20210212
16-2-2021,3932.59,5058990000,21.46,20210216
17-2-2021,3931.33,4730650000,21.5,20210217
18-2-2021,3913.97,4793650000,22.49,20210218
19-2-2021,3906.71,4845320000,22.05,20210219
22-2-2021,3876.5,5917100000,23.45,20210222
23-2-2021,3881.37,6296610000,23.11,20210223
24-2-2021,3925.43,6012790000,21.34,20210224
25-2-2021,3829.34,6547470000,28.89,20210225
26-2-2021,3811.15,6526070000,27.95,20210226
03-01-2021,3901.82,5114820000,23.35,20210301
03-02-2021,3870.29,5536010000,24.1,20210302
03-03-2021,3819.72,6173660000,26.67,20210303
03-04-2021,3768.47,7195400000,28.57,20210304
03-05-2021,3841.94,6851070000,24.66,20210305
03-08-2021,3821.35,5871710000,25.47,20210308
03-09-2021,3875.44,5513560000,24.03,20210309
03-10-2021,3898.81,5847380000,22.56,20210310
03-11-2021,3939.34,5312880000,21.91,20210311
03-12-2021,3943.34,4476280000,20.69,20210312
15-3-2021,3968.94,4900100000,20.03,20210315
16-3-2021,3962.71,4613080000,19.79,20210316
17-3-2021,3974.12,4561660000,19.23,20210317
18-3-2021,3915.46,5118590000,21.58,20210318
19-3-2021,3913.1,7757420000,20.95,20210319
22-3-2021,3940.59,4316260000,18.88,20210322
23-3-2021,3910.52,4669010000,20.3,20210323
24-3-2021,3889.14,4783020000,21.2,20210324
25-3-2021,3909.52,4948340000,19.81,20210325
26-3-2021,3974.54,5483160000,18.86,20210326
29-3-2021,3971.09,4628180000,20.74,20210329
30-3-2021,3958.55,4121510000,19.61,20210330
31-3-2021,3972.89,4578050000,19.4,20210331
04-01-2021,4019.87,4162130000,17.33,20210401
04-05-2021,4077.91,4005030000,17.91,20210405
04-06-2021,4073.94,4081270000,18.12,20210406
04-07-2021,4079.95,4120810000,17.16,20210407
04-08-2021,4097.17,3907100000,16.95,20210408
04-09-2021,4128.8,3640390000,16.69,20210409
04-12-2021,4127.99,3588900000,16.91,20210412
13-4-2021,4141.59,3734720000,16.65,20210413
14-4-2021,4124.66,3985350000,16.99,20210414
15-4-2021,4170.42,4033420000,16.57,20210415
16-4-2021,4185.47,4163820000,16.25,20210416
19-4-2021,4163.26,3810290000,17.29,20210419
20-4-2021,4134.94,4342650000,18.68,20210420
21-4-2021,4173.42,3887250000,17.5,20210421
22-4-2021,4134.98,4245140000,18.71,20210422
23-4-2021,4180.17,3569880000,17.33,20210423
26-4-2021,4187.62,3748320000,17.64,20210426
27-4-2021,4186.72,3710700000,17.56,20210427
28-4-2021,4183.18,3787360000,17.28,20210428
29-4-2021,4211.47,4298680000,17.61,20210429
30-4-2021,4181.17,4300880000,18.61,20210430
05-03-2021,4192.66,4070220000,18.31,20210503
05-04-2021,4164.66,4452460000,19.48,20210504
05-05-2021,4167.59,4230920000,19.15,20210505
05-06-2021,4201.62,4511000000,18.39,20210506
05-07-2021,4232.6,4016080000,16.69,20210507
05-10-2021,4188.43,4560700000,19.66,20210510
05-11-2021,4152.1,4870710000,21.84,20210511
05-12-2021,4063.04,4733070000,27.59,20210512
13-5-2021,4112.5,4779540000,23.13,20210513
14-5-2021,4173.85,4008880000,18.81,20210514
17-5-2021,4163.29,4125050000,19.72,20210517
18-5-2021,4127.83,4398150000,21.34,20210518
19-5-2021,4115.68,4247450000,22.18,20210519
20-5-2021,4159.12,3978880000,20.67,20210520
21-5-2021,4155.86,3995250000,20.15,20210521
24-5-2021,4197.05,3684800000,18.4,20210524
25-5-2021,4188.13,4182250000,18.84,20210525
26-5-2021,4195.99,4420890000,17.36,20210526
27-5-2021,4200.88,6406310000,16.74,20210527
28-5-2021,4204.11,4649250000,16.76,20210528
06-01-2021,4202.04,5074670000,17.9,20210601
06-02-2021,4208.12,5833670000,17.48,20210602
06-03-2021,4192.85,5587970000,18.04,20210603
06-04-2021,4229.89,4139790000,16.42,20210604
06-07-2021,4226.52,4476920000,16.42,20210607
06-08-2021,4227.26,4659620000,17.07,20210608
